,companyName,country,prefix,streetAddress1,streetAddress2
1425,Xia Men UnionCore Technology LTD.,CN,58F67B,"(224)2F Chuangye Building,Xiamen Pioneering Park for Overseas Chinese Scholars",Xia Men  Fu Jian  361009
1426,"United Integrated Services Co., Led.",TW,A02EF3,5F No 3 Lane 7 Packao Road Hsintien,Taipei Hsien    23144
1427,CVC,TW,A8CE90,"No.361,Renhua Rd.,",Dali City  Taichung  412
1428,"MIPRO Electronics Co., Ltd",TW,00271F,"814,Peikang Road",Chiayi    60096
1429,Geenovo Technology Ltd.,CN,00271A,"Unit 402, 4/F., Tower I,SHUI QING MU HUA YUAN,",Beijing    100080
1430,"Grainmustards, Co,ltd.",JP,002714,"HEIWA MK Bldg,2-48-4,Nihonbashi-Hama-cho",Tokyo    103-0007
1431,"CE Digital(Zhenjiang)Co.,Ltd",CN,002717,"Wei 3 Road, Dingmao, Eco.Dev.Zone,",Zhenjiang    212009
1432,Nordiag ASA,NO,002708,Frysjaveien 40,Oslo    0884
1433,INCOstartec GmbH,DE,002701,Rheinstraße 17,Teltow  Germany  14513
1434,SolarEdge Technologies,IL,002702,1 Abba Eban St.,Herzelia    46725
1435,"AirDio Wireless, Inc.",TW,0026FB,"13-5, No. 79, Sec. 1, Hsin Tai Wu Road","Hsichih City, Taipei County  Taiwan  22101"
1436,XRPLUS Inc.,KR,0026F5,#805 Ace Techno Tower 2nd 197-17,Seoul    152-766
1437,Instrumentation Technologies d.d.,SI,002632,Velika pot 22,Solkan  Nova Gorica  5250
1438,IKT Advanced Technologies s.r.o.,CZ,00262C,Piseckeho 334/19,Praha 5    15000
1439,"Geophysical Survey Systems, Inc.",US,002626,12 Industrial Way,Salem  NH  03079
1440,SAE Magnetics (H.K.) Ltd.,HK,00261F,SAE Technology Centre,"Hong Kong Science Park  Shatin, New Territories  "
1441,ISGUS GmbH,DE,002620,Oberdorfstraße 18 - 22,VS - Schwenningen  BW  78054
1442,Femtocomm System Technology Corp.,TW,00261A,"2F.-2,No.28, Taiyuan St.,","Jhubei City,  Hsinchu Country,  30288"
1443,Engel Axil S.L.,ES,002613,"Puig dels Tudons, 6",Barbera del Valles  Barcelona  08210
1444,"Mercury Systems, Inc.",US,00260D,26 Hampshire Dr,Hudson  NH  03051
1445,KOREA MAINTENANCE,KR,0025D8,"3F HAELIM BUIDING 103-7, GURO-5DONG",SEOUL    152-842
1446,Mobile Communications Korea Incorporated,KR,0025CC,"1011-1012, Suwon High Venture Valley,","Suwon-si,  Gyeonggi-do,  441-360"
1447,Star Link Communication Pvt. Ltd.,IN,0025C5,"HR114/6 & Hr132/6, Pulprehladpur,",New Delhi    110044
1448,"kasercorp, ltd",CN,0025C6,"South 20,Gaobu Road,Gaobu Town",Dongwan  Guangdong  523000
1449,ZillionTV Corporation,US,0025C0,1170 Kifer Road,Sunnyvale  CA  94086
1450,"Cisco Systems, Inc",US,0025B4,80 West Tasman Drive,San Jose  CA  94568
1451,Cypress Solutions Inc,CA,0025B9,3066 Beta Ave,  BC  V5G 4K4
1452,Manufacturing Resources International,US,0025AD,6415 Shiloh Road East,Alpharetta  GA  30005
1453,TEAC Australia Pty Ltd.,AU,002600,75 Northgate Drive,Thomastown  Victoria  3074
1454,Enabling Technology Pty Ltd,AU,002607,23/44 Kings Park Road,West Perth  Western Australia  6005
1455,Tunstall Healthcare A/S,DK,0025FB,Stroemmen 6,Noerresundby    9400
1456,J&M Analytik AG,DE,0025FA,Willy-Messerschmitt-Strasse 8,Essingen  BW  73457
1457,"netTALK.com, Inc.",US,0025F6,1100 NW 163RD DRIVE,NORTH MIAMI BEACH  FL  33169
1458,"I-TEC Co., Ltd.",JP,0025EF,"7/F,KAWARAMACHI KOYO BLDG.3-4-3,KAWARAMCHI,CHUO-KU,",OSAKA    541-0048
1459,"i-mate Development, Inc.",US,0025E9,"8383 158th Ave. N.E., Suite 300, Redmond,",Washington  WA  98052-3871
1460,I DO IT,KR,002690,"1308, WoolimLions2nd Doksan Station",Seoul    153-787
1461,Terrier SC Ltd,GB,00268A,Strettit Farm,East Peckham  Kent  TN12 5EE
1462,General Dynamics Robotic Systems,US,002689,1231 Tech Court,Westminster  MD  21157
1463,KISAN SYSTEM,KR,002684,GWANGMYEONG TECHNOPARK B-403,GWANGMYEONG  GYEONGGI  423-050
1464,"Ajoho Enterprise Co., Ltd.",TW,002683,"7F., No.101, Ruihu St.",Taipei    114
1465,A-Max Technology Macao Commercial Offshore Company Limited,CN,00267D,Avenida Da Praia Grande No. 409,Macau    
1466,DEIF A/S,DK,002677,Frisenborgvej 33,Skive    7800
1467,"AUTOVISION Co., Ltd",KR,002671,Shinsegae YBS Bldg. 102,Seongdong-gu  Seoul  133-847
1468,ESSENSIUM NV,BE,00266A,Gaston Geenslaan 9,LEUVEN  VL BRABANT  3001
1469,"Technology Advancement Group, Inc.",US,0026EF,22355 Tag Way,Dulles  VA  20166-9310
1470,SP Corp,KR,0026E9,"Guro 3-dong ,Guro-gu",Seoul    152-780
1471,Optical Systems Design,AU,0026DC,7/1 Vuko Place,Warriewood  NSW  2102
1472,"Ningbo Andy Optoelectronic Co., Ltd.",CN,0026D6,Lanjiang Street Industrial Zone,Yuyao  Zhejiang  315400
1473,DEKA R&D,US,0026CF,340 Commercial Street,Manchester  NH  03101
1474,Semihalf,PL,0026D0,ul. Wadowicka 8A,Krakow  ...  30-415
1475,"Cisco Systems, Inc",US,0026CA,80 West Tasman Drive,San Jose  CA  94568
1476,"Proventix Systems, Inc.",US,0026C9,4518 Valleydale Road,Birmingham  AL  35242
1477,Insightek Corp.,TW,0026C3,"5F,NO.755,Chung Cheng Rd.,",Chung Ho City  Taipei Hsien  235
1478,Core System Japan,JP,002664,"Bunshu Bldg,2-27-6,Myojin",Hachioji  Tokyo  1920046
1479,T-Platforms (Cyprus) Limited,CY,002658,"Themistokli Dervi 3, Julia House",Nicosia    P.C.-1066
1480,Circontrol S.A.,ES,002645,Lepant 43,Terrassa  Barcelona  08223
1481,LIOS Technology GmbH,DE,00263F,Schanzenstraße 39,Köln  Germany  D-51063
1482,"T.M. Electronics, Inc.",US,002639,45 Main St,Boylston  MA  01505
1483,"JTEC Card & Communication Co., Ltd.",KR,0026BD,"Dabo Bldg, 4F, 61-1, Gyesu-dong, Sosa-gu",Bucheon  Gyunggi-do  422-070
1484,Thales Communications Inc,US,0026B3,22605 Gateway Center Drive,Clarksburg  MD  20871
1485,"Arada Systems, Inc.",US,0026AD,1024 Morse Avenue,Sunnyvale  CA  94089
1486,Strong Technologies Pty Ltd,AU,0026A9,60 Wedgewood Road,Hallam  Victoria  3803
1487,FQ Ingenieria Electronica S.A.,ES,0026A3,Avda. Roquetes 9,Sant Pere de Ribes  Barcelona  08812
1488,ITUS JAPAN CO. LTD,JP,00269C,7F Shinkawa B/D,Chuoku  Tokyo  1040033
1489,"NOOLIX Co., Ltd",KR,002696,"DAECHANG B/D 3F, 8-2 SUNAE-DONG",SUNGNAM-SI  KYUNGGI-DO  463-825
1490,Bang and Olufsen Medicom a/s,DK,002484,Gimsinglundvej 20,Struer  DK  DK7600
1491,DesignArt Networks,IL,002486,4 Ha'haroshet St,Ra'anana    43101
1492,Nortel Networks,US,00247F,2221 Lakeside Blvd,Richardson  TX  75081
1493,Mag Tech Electronics Co Limited,HK,002478,Flat / Room T78 GOF Bangkok Building,Sheung Wan  HK  
1494,Fusion MultiSystems dba Fusion-io,US,002471,"6350 S. 3000 E., 6th floor",Salt lake City  UT  84121
1495,3COM EUROPE LTD,GB,002473,Peoplebuilding 2,Hemel Hempstead  HERTS.  HP2 4NW
1496,Giaval Science Development Co. Ltd.,CN,002460,58 Bei Si Huan Xi Rd,  Beijing  100080
1497,"RAIDON TECHNOLOGY, INC.",TW,00245B,"4F-8, NO.16, Lane 609, Sec.5, Chung-Hsin Rd.,","San-Chung City  Taipei county,  24159"
1498,"RadChips, Inc.",US,00244E,422 East Vermijo Ave.,Colorado Springs  CO  80903
1499,Kaztek Systems,US,002447,17 Bromfield Road,Acton  MA  01720
1500,Axona Limited,GB,002442,Unit 4U St. Albans Enterprise Centre,St. Albans  Herts  AL3 6EN
1501,Emerson Appliance Motors and Controls,US,00243D,1901 South St.,Elgin  IL  60123
1502,"Daido Signal Co., Ltd.",JP,002528,6-17-19,Minato-ku  TOKYO  105-8650
1503,OCP Inc.,US,002523,18495 S Dixie Hwy    PMB 107,Miami  Florida  33157
1504,ROTEL TECHNOLOGIES,TR,00251E,CEVIZLIDERE 14.CD NO:2/19 BALGAT,ANKARA    06520
1505,Viaas Inc,US,002519,3175 South Winchester Blvd,Campbell  CA  95008
1506,"PC Worth Int'l Co., Ltd.",TW,002514,"18F, No.100, Sec. 1, Xintai 5th Rd., Xizhi Dist.,",New Taipei City  Taipei  22102
1507,GZT Telkom-Telmor sp. z o.o.,PL,00250D,Mickiewicza 5/7,Gdansk  pomorskie  80-425
1508,A.I. ANTITACCHEGGIO ITALIA SRL,IT,002506,VICOLO DELLE DAME 4,BOLOGNA    40124
1509,Maquet Cardiopulmonary AG,DE,002508,Hechinger Strasse 38,Hirrlingen    72145
1510,CAMCO Produktions- und Vertriebs-GmbH für  Beschallungs- und Beleuchtungsanlagen,DE,00257A,Fischpicke 5,Wenden  NRW  57482
1511,"CallTechSolution Co.,Ltd",KR,00257F,"#123,Daewooprugio B/D,344-1, Seogyo-Dong,Mapo-gu",Seoul    121-837
1512,ST Electronics (Info-Security) Pte Ltd,SG,002573,"100, Jurong East Street 21, ST Electronics Jurong East Bldg",    609602
1513,Van Breda B.V.,NL,00256E,Mercuriusweg 21,Brummen  Gelderland  6971 GV
1514,Broadband Forum,US,00256D,48377 Fremont Boulevard,Fremont  CA  94538
1515,Ibridge Networks & Communications Ltd.,GB,002560,"28,Bedford Road East Ham",London    E6 2NN
1516,"CoachComm, LLC",US,00255B,205 Technology Parkway,Auburn  AL  36830
1517,"HASEGAWA ELECTRIC CO.,LTD.",JP,0024E2,5-6-20 SHIOE,AMAGASAKI  HYOGO  661-0976
1518,Alcohol Monitoring Systems,US,0024DB,1241 W. Mineral Avenue,Littleton  CO  80120
1519,Inscape Data Corporation,US,0024CF,1611 South Main Street,Milpitas  CA  95035
1520,Broadband Solutions Group,US,0024C8,1101 Marina Village Parkway,Alameda  CA  94501
1521,"Cisco Systems, Inc",US,0024C3,80 West Tasman Drive,San Jose  CA  94568
1522,NTI COMODO INC,KR,0024C0,"Rm#502, Kangyong Bldg, Sungnam-dong",Sungnam-si  Kyunggi-do  462-827
1523,Seagate Technology,US,0024B6,1280 Disc Drive,Shakopee  MN  55379
1524,CENTRAL Corporation,JP,0024BB,NISSO 17 Bldg.7F 2-14-30,Yokohama  Kanagawa  222-0033
1525,Coulomb Technologies,US,0024B1,1692 Dell Ave,Campbell  CA  95008
1526,Dycor Technologies Ltd.,CA,0024AA,1851 94 Street,Edmonton  Alberta  T6N 1E6
1527,Sonim Technologies Inc,US,0024A3,1875 S.Grant Street,Sanmateo  CA  94402
1528,ADC-Elektronik GmbH,DE,00249E,Östingstraße 13b,Hamm  NRW  D-59063
1529,"HYBUS CO., LTD.",KR,00248B,"Rm# 701, Daerung Post Tower 1st",SEOUL    152-790
1530,"Motorola, Broadband Solutions Group",US,002492,1101 Marina Village Parkway,Alameda  CA  94501
1531,"Cisco Systems, Inc",US,002497,80 West Tasman Drive,San Jose  CA  94568
1532,Pixel8 Networks,US,002554,"22 Great Oaks Blvd, Suite 150",San Jose  CA  95119
1533,Singapore Technologies Electronics Limited,SG,00254D,24 Ang Mo Kio,    569061
1534,"Vertex Wireless Co., Ltd.",KR,00254E,"5F, Seohyeon Plaza, 254-5, Seohyeon-dong, Bundang-gu",Seongnam-si  Gyeonggi-do  463-824
1535,Runcom Technologies Ltd.,IL,002537,11 Moshe Levi Str. 11th Flr.,Rishon Le Zion    75658
1536,Sensus Metering Systems,US,00253E,10147 W. Emerald Street,Boise  Idaho  83704
1537,Maquet Critical Care AB,SE,002541,Röntgenvägen 2,Solna    SE-171 95
1538,Kiryung Electronics,KR,00252D,"Kiryung Bldg. 686-70, Sindaebang-dong",Seoul    156-010
1539,"Central Network Solution Co., Ltd.",KR,0025A6,"584-1, Pajang-Dong, JangAn-Gu","Suwon-Si,  Kyunggi-Do  440-854"
1540,Enalasys,US,0025A1,250 Avenida Campillo,Calexico  California  92231
1541,CEStronics GmbH,DE,00259A,Friedrichstraße 243,Velbert    42551
1542,DatNet Informatikai Kft.,HU,002593,Hétvezér u. 5.,Szigetszentmiklós  Pest megye  2310
1543,Eurodesign BG LTD,BG,002594,"Business Park Sofia, Building 4, Floor 2",Sofia    1113
1544,The Weather Channel,US,00258E,Mail Stop 500,Atlanta  GA  30339
1545,Pole/Zero Corporation,US,00258A,5530 Union Centre Drive,West Chester  OH  45069
1546,Hills Industries Limited,AU,002589,5 Cambria Road,Melbourne  VIC  3173
1547,"Cisco Systems, Inc",US,002584,80 West Tasman Drive,San Jose  CA  94568
1548,JSC Supertel,RU,002501,38A Petrogradskaya emb.,St.Petersburg    197101
1549,Hilger u. Kern GMBH,DE,0024FA,Kaefertaler Strasse 253-255,Mannheim  Baden-Württemberg  68167
1550,NDS Surgical Imaging,US,0024F5,5750 Hellyer Ave.,San Jose  CA.  95138
1551,Wynmax Inc.,TW,0024EE,"18F., No. 75, Sec. 1, XinTai 5th  Rd.,","Xizhi  City,  Taipei County  221"
1552,Plaster Networks,US,0024E7,935 Hamilton Avenue,Menlo Park  CA  94025-1431
1553,TVLogic,KR,0023F2,suite 914 ACE Techno Tower-9th,Geumcheon-gu  SEOUL  153-782
1554,Demco Corp.,US,0023E8,"#919, Doosan Venturedigm, 126-1",Anyang-Si  Kyungki-Do  431-070
1555,Cavena Image Products AB,SE,0023E1,Nytorpsvägen 26,Täby  Stockholm  se-183 53
1556,"Benein, Inc",KR,0023DC,"Hyojachonjesangga228 B9, 297,",Sengnam-si  Kyunggi-do  463-818
1557,saxnet gmbh,DE,0023DB,Willy-Brandt-Ring 1,Oelsnitz  Sachsen  08606
1558,"Sichuan Tianyi Information Science & Technology Stock CO.,LTD",US,0023C9,"No.1,Hot Spring Highway,Dayi County",Chengdu  Sichuan  611330
1559,KITA DENSHI CORPORATION,JP,0023CE,"12F TOKYO-NISHIIKEBUKURO Bilg.,","Toshima-ku,  Tokyo  171-0021"
1560,WAREMA electronic GmbH,DE,0023D5,Dillberg 33,Marktheidenfeld  Bavaria  97828
1561,"MICRO-STAR INT'L CO., LTD.",TW,002421,"No.69, Li-De St",Taipei Hsien    235
1562,"Cisco Systems, Inc",US,002414,80 West Tasman Drive,San Jose  CA  94568
1563,Magnetic Autocontrol GmbH,DE,002415,Grienmatt 20,Schopfheim    D-79650
1564,Ishii Tool & Engineering Corporation,JP,00240F,2-5-60 Higashi-Omichi,Oita    870-0823
1565,Pacific Biosciences,US,002408,1505 Adams Drive,Menlo Park  CA  94025
1566,Op-Tection GmbH,DE,002402,Borsigstraße 80,Heinsberg  Germany  52525
1567,"Ultra Stereo Labs, Inc",US,0023FC,181 Bonetti Drive,San Luis Obispo  CA  93401
1568,CUMMINS-ALLISON CORP.,US,0023CF,891 FEEHANVILLE DRIVE,MT. PROSPECT  IL  60056
1569,SAMSUNG Electronics. Co. LTD,KR,0023C2,"19th Fl., Korea Life Bldg. 1338-12",Seoul    137-860
1570,SECURITE COMMUNICATIONS / HONEYWELL,US,0023B6,FONT DE L'ORME,MOUGINS  FRANCE  06250
1571,EQ-SYS GmbH,DE,0023BC,Hinter den Gärten 15b,Treuenbrietzen OT Feldheim  Brandenburg  14929
1572,"HFR, Inc.",KR,0023AA,"5F, Hana EZ Tower",Sungnam-si  Kyunggi-do  463-870
1573,"Beijing Detianquan Electromechanical Equipment Co., Ltd",CN,0023A9,"No. 2 Chapeng Road, Haidian District,",Beijing    100091
1574,Alflex,NL,00233C,Blauw-roodlaan 300,ZOETERMEER    2718 SK
1575,C-Matic Systems Ltd,GB,00233B,Warren Court,Crowborough  East Sussex  TN6 2QX
1576,"Linkflex Co.,Ltd",KR,002335,5F. Min Young Bldg. 175-2,Seoul    135-010
1577,SandForce,US,00232D,12950 Saratoga Ave.,Saratoga  California  95070-4658
1578,"ALCON TELECOMMUNICATIONS CO., LTD.",TW,002328,"2nd FL, NO 480-5, SEC. 6, YEN-PING N. RD.,",TAIPEI  TAIWAN  111
1579,Avitech International Corp,US,002321,15333 NE 90th Street,Redmond  WA  98052
1580,PIMA Electronic Systems Ltd.,IL,0022F8,5 Hatzoref St.,Holon    58856
1581,"Guangda Electronic & Telecommunication Technology Development Co., Ltd.",CN,00231F,"#8 Gaopengdong Road, Gaoxin District",Chengdu  Sichuan  610041
1582,Intelligent Data,ES,0022E6,"Edf. Inverinnova – Avda. Punto Mobi, 4. Parque Científico Tecnológico",Alcalá de Henares  Madrid  28805
1583,Atlantic Software Technologies S.r.L.,IT,0022E0,"Via Martino Bassi, 9",Milano    20148
1584,TAMUZ Monitors,DE,0022DF,Tiedenkamp 16,Henstedt-Ulzburg  SH  24558
1585,"ANATEK, LLC",US,0022DA,3219 East Camelback Road,Phoenix  AZ  85018
1586,Hub-Tech,KR,0022D3,"77, Imae-dong",Seongnam-si  Gyeonggi-do  463-829
1587,"Ared Technology Co., Ltd.",TW,0022CD,"6F-8 No.83 Sec.1, Nankan Rd. Luzhu Shiang",Taoyuan County  Taiwan  33859
1588,epro GmbH,DE,0022C4,Joebkesweg 3,Gronau  NRW  48599
1589,"Lenord, Bauer & Co GmbH",DE,0022C9,Dohlenstr 32,Oberhausen  NRW  46145
1590,SieAmp Group of Companies,US,0022BF,2 Ang Mo Kio Street 64,Singapore    569084
1591,"Analogix Seminconductor, Inc",US,0022B9,"3211 Scott Blvd., Suite 100",Santa Clara  CA  95054
1592,HUTH Elektronik Systeme GmbH,DE,0022BA,Echternacher Str. 10,Troisdorf-Spich  NRW  53842
1593,"Mapower Electronics Co., Ltd",TW,00239D,No. 50 Minquan Road,Taoyuan County    33846
1594,Proteus Industries Inc.,US,002392,340 Pioneer Way,Mountain View  CA  94041
1595,"Techno Design Co., Ltd.",JP,00238D,312-2,Aso-gun  Kumamoto-ken  861-2401
1596,V.T. Telematica S.p.a.,IT,002388,"Via Gorky, 21",San Giuliano Milanese  Milano  20098
1597,InMage Systems Inc,US,002383,"3255-1 Scott Blvd, #104",Santa Clara  CA  95054
1598,NEOTION,FR,00237C,ZI les Paluds,AUBAGNE    F-13400
1599,G-PRO COMPUTER,CN,002324,"first arrange C, YingHu industrial estate",DongGuan City  GuangDong Province  523648
1600,"Uni-v co.,ltd",CN,002431,"5/F,COFCO Property Tower,",Shenzhen  Guangdong  518126
1601,iWOW Communications Pte Ltd,SG,00241B,1 Lorong 2 Toa Payoh #04-01,    319637
1602,Knapp Logistik Automation GmbH,AT,002422,Günter Knapp-Straße 5-7,Hart bei Graz  Styria  8075
1603,SSI COMPUTER CORP,TW,002427,"4F, NO4, LANE 235, BAO CHIAO ROAD",HSIN TIEN  TAIPEI  231
1604,"GridIron Systems, Inc.",US,002373,726 Palomar Ave,Sunnyvale  CA  94085
1605,UniControls a.s.,CZ,002367,Krenicka 2257,Prague 10    100 00
1606,Burster GmbH & Co KG,DE,00236E,Talstraße 1-5,Gernsbach  Baden-Württemberg  76593
1607,ResMed Ltd,AU,00236D,"1, Elizabeth Macarthur Drive",Bella Vista  NSW  2153
1608,"Lookit Technology Co., Ltd",CN,002360,FL 8 Seashore Mansion,Shenzhen  Guangdong  518100
1609,Gulfstream,US,00235B,32 Lummus Drive,Savannah  GA  31407
1610,KISAN ELECTRONICS CO,KR,002316,317-15,SEOUNG-DONG GU  SEOUL  133-123
1611,Hirsch Electronics Corporation,US,00230F,"1900 Carnegie, Bldg. B",Santa Ana  CA  92705
1612,ARBURG GmbH & Co KG,DE,00230A,Arthur Hehl Straße,Lossburg    D-72290
1613,Janam Technologies LLC,US,002309,100 Crossways Park West,Woodbury  NY  11797
1614,LITE-ON IT Corporation,TW,002303,"14F, No. 392, Ruey Kuang Road, Neihu",Taipei City    114
1615,SunPower Corp,US,0022F2,1414 Harbour Way South,Richmond  CA  94804
1616,TSI Power Corporation,US,0022ED,1103 West Pierce Avenue,Antigo  WI  54409
1617,GBS Laboratories LLC,US,00228D,2325 Dulles Corner Blvd,Herndon  VA  20171
1618,Titan Wireless LLC,US,002287,3914 Gattis School Rd,Round Rock  Texas  78664
1619,"Sagrad, Inc.",US,002288,751 North Drive,Melbourne  FL  32934
1620,Daintree Networks Pty,AU,002281,1 Dalmore Drive,Scoresby  Victoria  3179
1621,Telecom Design,FR,00227A,Za Remora,33170  Gradignan  
1622,"Cisco-Linksys, LLC",US,00226B,121 Theory Drive,Irvine  California  92612
1623,Digicable Network India Pvt. Ltd.,IN,00225D,"7B, Shah Industrial Estate","Andheri - West, Mumbai.  Maharashtra  400 053"
1624,Multimedia & Communication Technology,KR,00225C,Digital Empire D-801 #980-3,Suwon-City  KyeongGi-Do  443-813
1625,"SymCom, Inc.",US,00216F,2880 North Plaza Drive,Rapid City  SD  57702
1626,"Prologix, LLC.",US,002169,17217 NE 133rd Place,Redmond  Washington  98052-2153
1627,"Cisco Systems, Inc",US,002156,80 West Tasman Drive,San Jose  CA  94568
1628,EYEVIEW ELECTRONICS,TW,002150,"3 Floor, No. 86, Kung Yeh 32 Road",TAICHUNG    407
1629,"Pixel Velocity, Inc",US,00214A,3917 Research Park Dr.,Ann Arbor  MI  48108
1630,Micromint,US,0021A3,111 Commerce St,Lake Mary  FL  32746
1631,Vacon Plc,FI,002199,P.O.Box 25,Vaasa    65380
1632,GWD Media Limited,GB,002195,10 Leeds Road,Sheffield  South Yorkshire  S9 3TY
1633,Ping Communication,NO,002194,Sandakerveien 24C,Oslo    0473
1634,Avantgarde Acoustic Lautsprechersysteme GmbH,DE,00218F,Nibelungenstraße 349,Lautertal - Reichenbach  Hessen  D-64686
1635,EMC Corporation,US,002188,2421 Mission College Blvd,Santa Clara  CA  95050
1636,"SandLinks Systems, Ltd.",IL,002182,P.O.Box 4629,Petah-Tiqwa  Israel  49277
1637,Pacific Satellite International Ltd.,HK,002175,"20/F Tai Tung Building,",Wanchai    100000
1638,SoundEar A/S,DK,00222A,Rentemestervej 80,Copenhagen NV  Denmark  DK-2400
1639,"Media Devices Co., Ltd.",KR,00221E,Rm1002 Ace TechnoTower(9th) 345-30,Seoul    153-802
1640,Thales Avionics Ltd,GB,002225,86 Bushey Road,London    SW20 0JW
1641,Verivue Inc.,US,002218,3 Carlisle Road,Westford  MA  01886
1642,"CAI Networks, Inc.",US,002212,4790 Irvine Blvd,Irvine  California  92620
1643,National Source Coding Center,CN,00220B,"Suite 701,Power Creative A,No.1",Beijing    100085
1644,"WeLink Solutions, Inc.",TW,002205,"3F, No. 88, Sec. 1, Nei-Hu Rd.",Taipei    114
1645,Cyberdyne Inc.,JP,002206,504 @C49-2,Tsukuba-shi  Ibaraki-ken  305-0817
1646,Sei S.p.A.,IT,0022B3,"Via Ruffilli, 1",Curno  Bergamo  24035
1647,"Hangzhou Siyuan Tech. Co., Ltd",CN,0022AC,"5 F, Tower B, No. 37, Xiang Yuan Road",Hangzhou  Zhejiang  310012
1648,Tyco Electronics AMP GmbH,DE,0022A7,Amperestraße 12-14,Bensheim  Hessen  64625
1649,Delphi Corporation,US,0022A0,M/C-480-405-255,Troy  MI  48446
1650,"Lastar, Inc.",US,00229A,3555 Kettering BLVD.,Moraine  Ohio  45439
1651,SeaMicro Inc.,US,002299,"4677 Old Ironsides Dr.,",Santa Clara  CA  95054
1652,Kyocera Corporation,JP,002294,"2-1-1,Kagahara",Yokohama-shi  Kanagawa  224-8502
1653,A4SP Technologies Ltd.,FI,0021FA,Keilaranta 19 D,Espoo  Uusimaa  02150
1654,"INRange Systems, Inc",US,0021F4,"3316 5th Avenue, Suite 100",Altoona  PA  16602
1655,Telegesis,GB,0021ED,84 Station Road,Marlow  Bucks  SL7 1NX
1656,Informatics Services Corporation,IR,0021E7,"140, Negin Bldg.,",Tehran    1549534511
1657,"Santachi Video Technology (Shenzhen) Co., Ltd.",CN,0021DB,"Santachi Building,#14 Kaifeng Road,Meilin,",Shenzhen  Guangdong  518049
1658,Nortel Networks,US,0021E1,2221 Lakeside Blvd,Richardson  TX  75081
1659,X2E GmbH,DE,0021D5,Raiffeisenstrasse 9,Winden  Rheinland-Pfalz  76872
1660,Automation Products Group Inc.,US,0021DA,1025 West 1700 North,Logan  Utah  84321
1661,NTC-Metrotek,RU,0021CE,"9, Nevzorovoy street",Saint-Petersburg    192148
1662,LOHUIS Networks,NL,0021C8,2681 TV Monster,Votlaan 408  Votlaan  31
1663,GL Communications Inc,US,0021C2,818 West Diamond Ave,Gaithersburg  MD  20878
1664,"Riken Keiki Co., Ltd.",JP,0021BB, 2-7-6 Azusawa,Itabashi-Ku  Tokyo  174-8744
1665,Galvanic Ltd,IE,0021B5,38 Nothumberland Road,Dublin    2
1666,Radio Frequency Systems,DE,0021AF,Kabelkamp 20,Hannover    30179
1667,Triacta Power Technologies Inc.,CA,0021B6,"Box 582, 7 Mill Street",Almonte  Ontario  K0A 1A0
1668,"Mobilink Telecom Co.,Ltd",KR,0021A9,"292-3 Sindang-ri, Sandong-myun",Gumi  Gyeongbuk  730-853
1669,Telephonics Corporation,US,0021A8,815 Broad Hollow Road,Farmingdale  New York  11790
1670,SAMSIN INNOTEC,KR,00210D,SARIYUNDONG ILSANDONG-GU,GOYANG  KYUNGGI  411530
1671,RADLIVE,IL,002141,4 Hanechoshet St.,Tel Aviv    69710
1672,"Bay Controls, LLC",US,002137,6528 Weatherfield Ct,Maumee  OH  43537
1673,SCIMOLEX CORPORATION,JP,00212D,"2430, Saijou, Showa-cho","Nakakoma-gun, Yamanashi    409-3866"
1674,"Building B, Inc",US,002133,"1000 NW 65th Street, Suite 300",Ft. Lauderdale  FL  33309
1675,VRmagic GmbH,DE,002121,Augustaanlage 32,Mannheim  BW  68165
1676,"Shenzhen Torch Equipment Co., Ltd.",CN,002126,"Floor 5, Block 3, Liming Industrial District, Zhongshanyuan Road, Nanshan,",Shenzhen  Guangdong  518052
1677,3COM EUROPE LTD,GB,002257,Peoplebuilding 2,Hemel Hempstead  HERTS.  HP2 4NW
1678,SEEnergy Corp.,TW,00224E,"4F, No.61, Dongsing RD.",Taipei    110
1679,"DAC ENGINEERING CO., LTD.",JP,002247,1-5 Oyanagi-cho,Kyoto    601-8128
1680,"JumpGen Systems, LLC",US,00223D,2111 Palomar Airport Rd,Carlsbad  CA  92011
1681,Shinhint Group,HK,002237,"Unit 1506, 15/F, Nanyang Plaza,, 57 Hung To Road,",    
1682,LOGIPLUS,BE,002238,"1, RUE CLEMENT ADER",GOSSELIES  HAINAUT  B-6041
1683,"SMT&C Co., Ltd.",KR,002231,"2Fr. Haksan Bldg. 110, Gwangjang-dong, Gwangjin-gu",Seoul    143-802
1684,"Nucomm, Inc.",US,00222B,101 Bilby Road,Hackettstown  NJ  07840
1685,"Cisco Systems, Inc",US,001EF6,80 West Tasman Drive,San Jose  CA  94568
1686,"Sensor Switch, Inc.",US,001EEA,900 Northrop Road,Wallingford  CT  06492
1687,Cantronic International Limited,HK,001EEF,"Unit 515-516, Building 15, East Wing, No 8 Science Park West Avenue, Hong Kong Science Park Phase II",Shatin  New Territories  852
1688,BYD COMPANY LIMITED,CN,001EDE,"NO.1,Baoping Road,Baolong Industrial Town,Longgang",SHEN ZHEN  Guangdong  518116
1689,"T&W Electronics (ShenZhen) Co.,Ltd",CN,001EE3,"2F Baiying Building, No.19, NanhaiRd., Nanshan Dist",ShenZhen  GuangDong  518052
1690,WASKO S.A.,PL,001EDD,Berbeckiego 6,Gliwice  Silesia  44-100
